ID,pixel_asm0,pixel_asm1,pixel_asm2,pixel_asm3,pixel_asm4,pixel_asm5,pixel_asm6,pixel_asm7,pixel_asm8,pixel_asm9
Fnda3PuqJT6Ep5vjOWCk,72,69,65,68,69,82,58,48,48,52
jhgdqC2e1Z4inImTQKvY,72,69,65,68,69,82,58,48,48,52
9MKSaiLY4AtGDZfvRQ1E,72,69,65,68,69,82,58,49,48,48
ANPyxi13XKGvsF5zlQqW,72,69,65,68,69,82,58,48,48,52
HNaWLdV5YIytUe0pFXCA,72,69,65,68,69,82,58,48,48,52
h3EdyntkIm9wi0B7GH8g,72,69,65,68,69,82,58,55,67,51
64SxkBKApurs93Qv5oce,72,69,65,68,69,82,58,48,48,52
0qjuDC7Rhx9rHkLlItAp,72,69,65,68,69,82,58,48,48,52
KOsC9hgvbu7QEk085FZp,72,69,65,68,69,82,58,48,48,52
iYEh1qlTSkCorw8bUnt7,72,69,65,68,69,82,58,48,48,52
iXgHCQ6bTzvFPout92dn,46,116,101,120,116,58,48,48,52,48
40KRbGeQZ8PwcUgt5joa,72,69,65,68,69,82,58,48,48,52
Al6GOBJ2KvPCxo3b7jiN,72,69,65,68,69,82,58,48,48,52
FtBHiVSc1PAaxelsC7yg,72,69,65,68,69,82,58,49,48,48
eDEd50XhAoyv8CHpnO2R,46,116,101,120,116,58,48,48,52,48
9ftj5a4V8hCr3pTAUiGl,72,69,65,68,69,82,58,48,48,52
e65UwgD2OfTtXkA8GluM,46,116,101,120,116,58,48,48,52,48
jOZMUJF5waGhqLQbWsYz,72,69,65,68,69,82,58,49,48,48
aVM29RPh63DTcnOreZwL,72,69,65,68,69,82,58,48,48,52
0yn4gphuOYlPsCz5JGFM,72,69,65,68,69,82,58,48,48,52
gelhQLoiRE0HZTOI2fYv,72,69,65,68,69,82,58,48,48,52
iBIGzWL1AFKxqUrjo0Sg,72,69,65,68,69,82,58,48,48,52
5pJfOSNowh4sXkYBmKPQ,72,69,65,68,69,82,58,48,48,52
51qVyQZvcFaz89onAOBS,72,69,65,68,69,82,58,48,48,52
bzmIweixPWfjVQXhO3r4,72,69,65,68,69,82,58,49,48,48
gyOPeu8vNMszC1dH9cTm,72,69,65,68,69,82,58,48,48,52
hrguW0CqMt2mJdfvX8IB,72,69,65,68,69,82,58,48,48,52
CuBjq74ozndLGMe9aJsm,46,116,101,120,116,58,48,48,52,48
iwNno6KJ07lyFBVgfebE,72,69,65,68,69,82,58,48,48,52
81LeDy7sJGfSQHFAh0cp,46,116,101,120,116,58,48,48,52,48
hZiVAw5nREjHU1qodatK,72,69,65,68,69,82,58,48,48,52
k3lUV2ChNYupKI8vZxme,72,69,65,68,69,82,58,48,48,52
F1nhXPej7m8KOUtGTVRk,72,69,65,68,69,82,58,48,48,52
