,Pclass,Age,SibSp,Parch,Fare,Sex_female,Sex_male,Embarked_C,Embarked_Q,Embarked_S
837,3,28.0,0,0,8.05,0,1,0,0,1
211,2,35.0,0,0,21.0,1,0,0,0,1
869,3,4.0,1,1,11.1333,0,1,0,0,1
813,3,6.0,4,2,31.275,1,0,0,0,1
502,3,28.0,0,0,7.6292,1,0,0,1,0
103,3,33.0,0,0,8.6542,0,1,0,0,1
3,1,35.0,1,0,53.1,1,0,0,0,1
814,3,30.5,0,0,8.05,0,1,0,0,1
44,3,19.0,0,0,7.8792,1,0,0,1,0
19,3,28.0,0,0,7.225,1,0,1,0,0
251,3,29.0,1,1,10.4625,1,0,0,0,1
364,3,28.0,1,0,15.5,0,1,0,1,0
679,1,36.0,0,1,512.3292,0,1,1,0,0
510,3,29.0,0,0,7.75,0,1,0,1,0
671,1,31.0,1,0,52.0,0,1,0,0,1
809,1,33.0,1,0,53.1,1,0,0,0,1
9,2,14.0,1,0,30.0708,1,0,1,0,0
821,3,27.0,0,0,8.6625,0,1,0,0,1
174,1,56.0,0,0,30.6958,0,1,1,0,0
246,3,25.0,0,0,7.775,1,0,0,0,1
200,3,28.0,0,0,9.5,0,1,0,0,1
437,2,24.0,2,3,18.75,1,0,0,0,1
812,2,35.0,0,0,10.5,0,1,0,0,1
797,3,31.0,0,0,8.6833,1,0,0,0,1
342,2,28.0,0,0,13.0,0,1,0,0,1
721,3,17.0,1,0,7.0542,0,1,0,0,1
740,1,28.0,0,0,30.0,0,1,0,0,1
315,3,26.0,0,0,7.8542,1,0,0,0,1
478,3,22.0,0,0,7.5208,0,1,0,0,1
627,1,21.0,0,0,77.9583,1,0,0,0,1
28,3,28.0,0,0,7.8792,1,0,0,1,0
11,1,58.0,0,0,26.55,1,0,0,0,1
176,3,28.0,3,1,25.4667,0,1,0,0,1
324,3,28.0,8,2,69.55,0,1,0,0,1
363,3,35.0,0,0,7.05,0,1,0,0,1
435,1,14.0,1,2,120.0,1,0,0,0,1
532,3,17.0,1,1,7.2292,0,1,1,0,0
454,3,28.0,0,0,8.05,0,1,0,0,1
409,3,28.0,3,1,25.4667,1,0,0,0,1
520,1,30.0,0,0,93.5,1,0,0,0,1
748,1,19.0,1,0,53.1,0,1,0,0,1
633,1,28.0,0,0,0.0,0,1,0,0,1
434,1,50.0,1,0,55.9,0,1,0,0,1
43,2,3.0,1,2,41.5792,1,0,1,0,0
297,1,2.0,1,2,151.55,1,0,0,0,1
72,2,21.0,0,0,73.5,0,1,0,0,1
346,2,40.0,0,0,13.0,1,0,0,0,1
51,3,21.0,0,0,7.8,0,1,0,0,1
350,3,23.0,0,0,9.225,0,1,0,0,1
466,2,28.0,0,0,0.0,0,1,0,0,1
694,1,60.0,0,0,26.55,0,1,0,0,1
628,3,26.0,0,0,7.8958,0,1,0,0,1
870,3,26.0,0,0,7.8958,0,1,0,0,1
255,3,29.0,0,2,15.2458,1,0,1,0,0
227,3,20.5,0,0,7.25,0,1,0,0,1
30,1,40.0,0,0,27.7208,0,1,1,0,0
201,3,28.0,8,2,69.55,0,1,0,0,1
70,2,32.0,0,0,10.5,0,1,0,0,1
381,3,1.0,0,2,15.7417,1,0,1,0,0
192,3,19.0,1,0,7.8542,1,0,0,0,1
577,1,39.0,1,0,55.9,1,0,0,0,1
489,3,9.0,1,1,15.9,0,1,0,0,1
428,3,28.0,0,0,7.75,0,1,0,1,0
167,3,45.0,1,4,27.9,1,0,0,0,1
779,1,43.0,0,1,211.3375,1,0,0,0,1
115,3,21.0,0,0,7.925,0,1,0,0,1
690,1,31.0,1,0,57.0,0,1,0,0,1
284,1,28.0,0,0,26.0,0,1,0,0,1
210,3,24.0,0,0,7.05,0,1,0,0,1
145,2,19.0,1,1,36.75,0,1,0,0,1
63,3,4.0,3,2,27.9,0,1,0,0,1
419,3,10.0,0,2,24.15,1,0,0,0,1
600,2,24.0,2,1,27.0,1,0,0,0,1
652,3,21.0,0,0,8.4333,0,1,0,0,1
637,2,31.0,1,1,26.25,0,1,0,0,1
541,3,9.0,4,2,31.275,1,0,0,0,1
432,2,42.0,1,0,26.0,1,0,0,0,1
121,3,28.0,0,0,8.05,0,1,0,0,1
292,2,36.0,0,0,12.875,0,1,1,0,0
742,1,21.0,2,2,262.375,1,0,1,0,0
767,3,30.5,0,0,7.75,1,0,0,1,0
765,1,51.0,1,0,77.9583,1,0,0,0,1
771,3,48.0,0,0,7.8542,0,1,0,0,1
228,2,18.0,0,0,13.0,0,1,0,0,1
804,3,27.0,0,0,6.975,0,1,0,0,1
357,2,38.0,0,0,13.0,1,0,0,0,1
67,3,19.0,0,0,8.1583,0,1,0,0,1
762,3,20.0,0,0,7.2292,0,1,1,0,0
40,3,40.0,1,0,9.475,1,0,0,0,1
234,2,24.0,0,0,10.5,0,1,0,0,1
351,1,28.0,0,0,35.0,0,1,0,0,1
872,1,33.0,0,0,5.0,0,1,0,0,1
436,3,21.0,2,2,34.375,1,0,0,0,1
407,2,3.0,1,1,18.75,0,1,0,0,1
630,1,80.0,0,0,30.0,0,1,0,0,1
128,3,28.0,1,1,22.3583,1,0,1,0,0
852,3,9.0,1,1,15.2458,1,0,1,0,0
400,3,39.0,0,0,7.925,0,1,0,0,1
320,3,22.0,0,0,7.25,0,1,0,0,1
420,3,28.0,0,0,7.8958,0,1,1,0,0
625,1,61.0,0,0,32.3208,0,1,0,0,1
789,1,46.0,0,0,79.2,0,1,1,0,0
223,3,28.0,0,0,7.8958,0,1,0,0,1
152,3,55.5,0,0,8.05,0,1,0,0,1
508,3,28.0,0,0,22.525,0,1,0,0,1
425,3,28.0,0,0,7.25,0,1,0,0,1
747,2,30.0,0,0,13.0,1,0,0,0,1
456,1,65.0,0,0,26.55,0,1,0,0,1
94,3,59.0,0,0,7.25,0,1,0,0,1
563,3,28.0,0,0,8.05,0,1,0,0,1
523,1,44.0,0,1,57.9792,1,0,1,0,0
273,1,37.0,0,1,29.7,0,1,1,0,0
882,3,22.0,0,0,10.5167,1,0,0,0,1
704,3,26.0,1,0,7.8542,0,1,0,0,1
832,3,28.0,0,0,7.2292,0,1,1,0,0
514,3,24.0,0,0,7.4958,0,1,0,0,1
36,3,28.0,0,0,7.2292,0,1,1,0,0
139,1,24.0,0,0,79.2,0,1,1,0,0
334,1,28.0,1,0,133.65,1,0,0,0,1
598,3,28.0,0,0,7.225,0,1,1,0,0
457,1,28.0,1,0,51.8625,1,0,0,0,1
777,3,5.0,0,0,12.475,1,0,0,0,1
38,3,18.0,2,0,18.0,1,0,0,0,1
116,3,70.5,0,0,7.75,0,1,0,1,0
411,3,28.0,0,0,6.8583,0,1,0,1,0
878,3,28.0,0,0,7.8958,0,1,0,0,1
591,1,52.0,1,0,78.2667,1,0,1,0,0
475,1,28.0,0,0,52.0,0,1,0,0,1
90,3,29.0,0,0,8.05,0,1,0,0,1
857,1,51.0,0,0,26.55,0,1,0,0,1
711,1,28.0,0,0,26.55,0,1,0,0,1
484,1,25.0,1,0,91.0792,0,1,1,0,0
383,1,35.0,1,0,52.0,1,0,0,0,1
330,3,28.0,2,0,23.25,1,0,0,1,0
269,1,35.0,0,0,135.6333,1,0,0,0,1
801,2,31.0,1,1,26.25,1,0,0,0,1
525,3,40.5,0,0,7.75,0,1,0,1,0
84,2,17.0,0,0,10.5,1,0,0,0,1
718,3,28.0,0,0,15.5,0,1,0,1,0
825,3,28.0,0,0,6.95,0,1,0,1,0
274,3,28.0,0,0,7.75,1,0,0,1,0
463,2,48.0,0,0,13.0,0,1,0,0,1
175,3,18.0,1,1,7.8542,0,1,0,0,1
890,3,32.0,0,0,7.75,0,1,0,1,0
540,1,36.0,0,2,71.0,1,0,0,0,1
298,1,28.0,0,0,30.5,0,1,0,0,1
871,1,47.0,1,1,52.5542,1,0,0,0,1
865,2,42.0,0,0,13.0,1,0,0,0,1
122,2,32.5,1,0,30.0708,0,1,1,0,0
853,1,16.0,0,1,39.4,1,0,0,0,1
194,1,44.0,0,0,27.7208,1,0,1,0,0
243,3,22.0,0,0,7.125,0,1,0,0,1
275,1,63.0,1,0,77.9583,1,0,0,0,1
385,2,18.0,0,0,73.5,0,1,0,0,1
528,3,39.0,0,0,7.925,0,1,0,0,1
390,1,36.0,1,2,120.0,0,1,0,0,1
805,3,31.0,0,0,7.775,0,1,0,0,1
182,3,9.0,4,2,31.3875,0,1,0,0,1
818,3,43.0,0,0,6.45,0,1,0,0,1
831,2,0.83,1,1,18.75,0,1,0,0,1
550,1,17.0,0,2,110.8833,0,1,1,0,0
538,3,28.0,0,0,14.5,0,1,0,0,1
378,3,20.0,0,0,4.0125,0,1,1,0,0
366,1,60.0,1,0,75.25,1,0,1,0,0
307,1,17.0,1,0,108.9,1,0,1,0,0
65,3,28.0,1,1,15.2458,0,1,1,0,0
885,3,39.0,0,5,29.125,1,0,0,1,0
571,1,53.0,2,0,51.4792,1,0,0,0,1
482,3,50.0,0,0,8.05,0,1,0,0,1
572,1,36.0,0,0,26.3875,0,1,0,0,1
588,3,22.0,0,0,8.05,0,1,0,0,1
695,2,52.0,0,0,13.5,0,1,0,0,1
267,3,25.0,1,0,7.775,0,1,0,0,1
493,1,71.0,0,0,49.5042,0,1,1,0,0
414,3,44.0,0,0,7.925,0,1,0,0,1
393,1,23.0,1,0,113.275,1,0,1,0,0
802,1,11.0,1,2,120.0,0,1,0,0,1
639,3,28.0,1,0,16.1,0,1,0,0,1
179,3,36.0,0,0,0.0,0,1,0,0,1
826,3,28.0,0,0,56.4958,0,1,0,0,1
855,3,18.0,0,1,9.35,1,0,0,0,1
247,2,24.0,0,2,14.5,1,0,0,0,1
396,3,31.0,0,0,7.8542,1,0,0,0,1
610,3,39.0,1,5,31.275,1,0,0,0,1
